,AFFGEOID
1500000US371830530035,10
1500000US371830534053,9
1500000US371830535161,6
1500000US371830535192,6
1500000US371830535201,6
1500000US371830535064,4
1500000US371830535131,3
1500000US371830535053,3
1500000US371830535122,3
1500000US371830535171,3
1500000US371830536172,3
1500000US371830530032,2
1500000US371830534211,2
1500000US371830535172,2
1500000US371830535203,2
1500000US371830536091,2
1500000US371830534241,1
1500000US371830534111,1
1500000US371830534051,1
1500000US371830536181,1
1500000US371830535173,1
1500000US371830535252,1
1500000US371830534231,1
1500000US371830536112,1
1500000US371830534082,1
1500000US371830535091,1
1500000US371830530033,1
1500000US371830534232,1
1500000US370370207031,1
1500000US371830530041,1
1500000US371830535174,1
1500000US371830535162,1
1500000US371830535223,1
1500000US371830536191,1
1500000US371830534052,1
1500000US371830535191,1
1500000US371830535241,1
1500000US371830535052,1
1500000US371830535211,1
1500000US371830535132,1
1500000US371830534221,1
1500000US371830535232,1
1500000US371830535072,1
1500000US371830534251,1
1500000US371830536081,1
1500000US371830535251,1
1500000US371830535212,1
1500000US371830536182,1
1500000US371830536031,1
